Dataset,Model,Pooling,K,Accuracy,F1_Micro,F1_Macro
mb-change_cls_hirise,dinov3_sat,gem,15,0.9754,0.9754,0.9104
mb-change_cls_hirise,satmae,cls,1,0.9776,0.9776,0.9211
mb-change_cls_hirise,satmae,cls,3,0.9784,0.9784,0.9206
mb-change_cls_hirise,satmae,cls,5,0.9799,0.9799,0.9260
mb-change_cls_hirise,satmae,cls,7,0.9791,0.9791,0.9250
mb-change_cls_hirise,satmae,cls,9,0.9799,0.9799,0.9267
mb-change_cls_hirise,satmae,cls,11,0.9791,0.9791,0.9250
mb-change_cls_hirise,satmae,cls,13,0.9791,0.9791,0.9237
mb-change_cls_hirise,satmae,cls,15,0.9791,0.9791,0.9237
mb-change_cls_hirise,satmae,mean,1,0.9799,0.9799,0.9293
mb-change_cls_hirise,satmae,mean,3,0.9784,0.9784,0.9220
mb-change_cls_hirise,satmae,mean,5,0.9776,0.9776,0.9197
mb-change_cls_hirise,satmae,mean,7,0.9791,0.9791,0.9257
mb-change_cls_hirise,satmae,mean,9,0.9791,0.9791,0.9250
mb-change_cls_hirise,satmae,mean,11,0.9799,0.9799,0.9280
mb-change_cls_hirise,satmae,mean,13,0.9791,0.9791,0.9244
mb-change_cls_hirise,satmae,mean,15,0.9799,0.9799,0.9274
mb-change_cls_hirise,satmae,max,1,0.9799,0.9799,0.9299
mb-change_cls_hirise,satmae,max,3,0.9799,0.9799,0.9274
mb-change_cls_hirise,satmae,max,5,0.9791,0.9791,0.9257
mb-change_cls_hirise,satmae,max,7,0.9799,0.9799,0.9280
mb-change_cls_hirise,satmae,max,9,0.9791,0.9791,0.9257
mb-change_cls_hirise,satmae,max,11,0.9791,0.9791,0.9250
mb-change_cls_hirise,satmae,max,13,0.9769,0.9769,0.9166
mb-change_cls_hirise,satmae,max,15,0.9754,0.9754,0.9087
mb-change_cls_hirise,satmae,gem,1,0.9799,0.9799,0.9299
mb-change_cls_hirise,satmae,gem,3,0.9799,0.9799,0.9287
mb-change_cls_hirise,satmae,gem,5,0.9776,0.9776,0.9197
mb-change_cls_hirise,satmae,gem,7,0.9791,0.9791,0.9257
mb-change_cls_hirise,satmae,gem,9,0.9799,0.9799,0.9287
mb-change_cls_hirise,satmae,gem,11,0.9761,0.9761,0.9151
mb-change_cls_hirise,satmae,gem,13,0.9776,0.9776,0.9197
mb-change_cls_hirise,satmae,gem,15,0.9769,0.9769,0.9174
mb-change_cls_hirise,mars_mae,cls,1,0.9806,0.9806,0.9310
mb-change_cls_hirise,mars_mae,cls,3,0.9843,0.9843,0.9430
mb-change_cls_hirise,mars_mae,cls,5,0.9806,0.9806,0.9291
mb-change_cls_hirise,mars_mae,cls,7,0.9821,0.9821,0.9346
mb-change_cls_hirise,mars_mae,cls,9,0.9806,0.9806,0.9291
mb-change_cls_hirise,mars_mae,cls,11,0.9828,0.9828,0.9376
mb-change_cls_hirise,mars_mae,cls,13,0.9828,0.9828,0.9376
mb-change_cls_hirise,mars_mae,cls,15,0.9806,0.9806,0.9284
mb-change_cls_hirise,mars_mae,mean,1,0.9858,0.9858,0.9503
mb-change_cls_hirise,mars_mae,mean,3,0.9813,0.9813,0.9334
mb-change_cls_hirise,mars_mae,mean,5,0.9836,0.9836,0.9416
mb-change_cls_hirise,mars_mae,mean,7,0.9828,0.9828,0.9387
mb-change_cls_hirise,mars_mae,mean,9,0.9813,0.9813,0.9321
mb-change_cls_hirise,mars_mae,mean,11,0.9843,0.9843,0.9435
mb-change_cls_hirise,mars_mae,mean,13,0.9843,0.9843,0.9435
mb-change_cls_hirise,mars_mae,mean,15,0.9821,0.9821,0.9352
mb-change_cls_hirise,mars_mae,max,1,0.9851,0.9851,0.9488
mb-change_cls_hirise,mars_mae,max,3,0.9836,0.9836,0.9427
mb-change_cls_hirise,mars_mae,max,5,0.9836,0.9836,0.9427
mb-change_cls_hirise,mars_mae,max,7,0.9851,0.9851,0.9474
mb-change_cls_hirise,mars_mae,max,9,0.9843,0.9843,0.9440
mb-change_cls_hirise,mars_mae,max,11,0.9821,0.9821,0.9358
mb-change_cls_hirise,mars_mae,max,13,0.9821,0.9821,0.9358
mb-change_cls_hirise,mars_mae,max,15,0.9821,0.9821,0.9363
mb-change_cls_hirise,mars_mae,gem,1,0.9851,0.9851,0.9483
mb-change_cls_hirise,mars_mae,gem,3,0.9813,0.9813,0.9340
mb-change_cls_hirise,mars_mae,gem,5,0.9828,0.9828,0.9387
mb-change_cls_hirise,mars_mae,gem,7,0.9843,0.9843,0.9440
mb-change_cls_hirise,mars_mae,gem,9,0.9799,0.9799,0.9260
mb-change_cls_hirise,mars_mae,gem,11,0.9799,0.9799,0.9260
mb-change_cls_hirise,mars_mae,gem,13,0.9813,0.9813,0.9321
mb-change_cls_hirise,mars_mae,gem,15,0.9813,0.9813,0.9315
mb-frost_cls,vit_l,cls,1,0.8694,0.8694,0.8591
mb-frost_cls,vit_l,cls,3,0.8864,0.8864,0.8771
mb-frost_cls,vit_l,cls,5,0.8953,0.8953,0.8866
mb-frost_cls,vit_l,cls,7,0.8983,0.8983,0.8898
mb-frost_cls,vit_l,cls,9,0.9021,0.9021,0.8940
mb-frost_cls,vit_l,cls,11,0.9052,0.9052,0.8974
mb-frost_cls,vit_l,cls,13,0.9046,0.9046,0.8967
mb-frost_cls,vit_l,cls,15,0.9039,0.9039,0.8961
mb-frost_cls,vit_l,mean,1,0.8934,0.8934,0.8844
mb-frost_cls,vit_l,mean,3,0.9039,0.9039,0.8955
mb-frost_cls,vit_l,mean,5,0.9104,0.9104,0.9024
mb-frost_cls,vit_l,mean,7,0.9133,0.9133,0.9055
mb-frost_cls,vit_l,mean,9,0.9160,0.9160,0.9082
mb-frost_cls,vit_l,mean,11,0.9177,0.9177,0.9101
mb-frost_cls,vit_l,mean,13,0.9186,0.9186,0.9110
mb-frost_cls,vit_l,mean,15,0.9194,0.9194,0.9119
mb-frost_cls,vit_l,max,1,0.8934,0.8934,0.8859
mb-frost_cls,vit_l,max,3,0.9118,0.9118,0.9054
mb-frost_cls,vit_l,max,5,0.9162,0.9162,0.9102
mb-frost_cls,vit_l,max,7,0.9163,0.9163,0.9104
mb-frost_cls,vit_l,max,9,0.9163,0.9163,0.9105
mb-frost_cls,vit_l,max,11,0.9162,0.9162,0.9104
mb-frost_cls,vit_l,max,13,0.9164,0.9164,0.9107
mb-frost_cls,vit_l,max,15,0.9160,0.9160,0.9103
mb-frost_cls,vit_l,gem,1,0.9026,0.9026,0.8949
mb-frost_cls,vit_l,gem,3,0.9136,0.9136,0.9069
mb-frost_cls,vit_l,gem,5,0.9178,0.9178,0.9114
mb-frost_cls,vit_l,gem,7,0.9189,0.9189,0.9127
mb-frost_cls,vit_l,gem,9,0.9193,0.9193,0.9130
mb-frost_cls,vit_l,gem,11,0.9181,0.9181,0.9119
mb-frost_cls,vit_l,gem,13,0.9175,0.9175,0.9113
mb-frost_cls,vit_l,gem,15,0.9177,0.9177,0.9117
mb-frost_cls,swin_v2,cls,1,0.8819,0.8819,0.8757
mb-frost_cls,swin_v2,cls,3,0.8878,0.8878,0.8820
mb-frost_cls,swin_v2,cls,5,0.8923,0.8923,0.8867
mb-frost_cls,swin_v2,cls,7,0.8935,0.8935,0.8880
mb-frost_cls,swin_v2,cls,9,0.8954,0.8954,0.8900
mb-frost_cls,swin_v2,cls,11,0.8962,0.8962,0.8907
mb-frost_cls,swin_v2,cls,13,0.8966,0.8966,0.8912
mb-frost_cls,swin_v2,cls,15,0.8959,0.8959,0.8904
mb-frost_cls,swin_v2,mean,1,0.8819,0.8819,0.8757
mb-frost_cls,swin_v2,mean,3,0.8878,0.8878,0.8820
mb-frost_cls,swin_v2,mean,5,0.8923,0.8923,0.8867
mb-frost_cls,swin_v2,mean,7,0.8935,0.8935,0.8880
mb-frost_cls,swin_v2,mean,9,0.8954,0.8954,0.8900
mb-frost_cls,swin_v2,mean,11,0.8962,0.8962,0.8907
mb-frost_cls,swin_v2,mean,13,0.8966,0.8966,0.8912
mb-frost_cls,swin_v2,mean,15,0.8959,0.8959,0.8904
mb-frost_cls,swin_v2,max,1,0.8810,0.8810,0.8738
mb-frost_cls,swin_v2,max,3,0.8877,0.8877,0.8812
mb-frost_cls,swin_v2,max,5,0.8902,0.8902,0.8840
mb-frost_cls,swin_v2,max,7,0.8919,0.8919,0.8858
mb-frost_cls,swin_v2,max,9,0.8935,0.8935,0.8874
mb-frost_cls,swin_v2,max,11,0.8937,0.8937,0.8878
mb-frost_cls,swin_v2,max,13,0.8940,0.8940,0.8881
mb-frost_cls,swin_v2,max,15,0.8946,0.8946,0.8887
mb-frost_cls,swin_v2,gem,1,0.8889,0.8889,0.8823
mb-frost_cls,swin_v2,gem,3,0.8918,0.8918,0.8857
mb-frost_cls,swin_v2,gem,5,0.8947,0.8947,0.8889
mb-frost_cls,swin_v2,gem,7,0.8937,0.8937,0.8879
mb-frost_cls,swin_v2,gem,9,0.8951,0.8951,0.8894
mb-frost_cls,swin_v2,gem,11,0.8945,0.8945,0.8888
mb-frost_cls,swin_v2,gem,13,0.8943,0.8943,0.8885
mb-frost_cls,swin_v2,gem,15,0.8950,0.8950,0.8893
mb-frost_cls,siglip2,cls,1,0.8914,0.8914,0.8850
mb-frost_cls,siglip2,cls,3,0.8984,0.8984,0.8926
mb-frost_cls,siglip2,cls,5,0.9009,0.9009,0.8951
mb-frost_cls,siglip2,cls,7,0.9015,0.9015,0.8959
mb-frost_cls,siglip2,cls,9,0.9025,0.9025,0.8970
mb-frost_cls,siglip2,cls,11,0.9034,0.9034,0.8979
mb-frost_cls,siglip2,cls,13,0.9041,0.9041,0.8986
mb-frost_cls,siglip2,cls,15,0.9075,0.9075,0.9021
mb-frost_cls,siglip2,mean,1,0.9184,0.9184,0.9139
mb-frost_cls,siglip2,mean,3,0.9244,0.9244,0.9203
mb-frost_cls,siglip2,mean,5,0.9238,0.9238,0.9198
mb-frost_cls,siglip2,mean,7,0.9257,0.9257,0.9218
mb-frost_cls,siglip2,mean,9,0.9267,0.9267,0.9229
mb-frost_cls,siglip2,mean,11,0.9262,0.9262,0.9224
mb-frost_cls,siglip2,mean,13,0.9264,0.9264,0.9226
mb-frost_cls,siglip2,mean,15,0.9268,0.9268,0.9230
mb-frost_cls,siglip2,max,1,0.9181,0.9181,0.9130
mb-frost_cls,siglip2,max,3,0.9309,0.9309,0.9265
mb-frost_cls,siglip2,max,5,0.9363,0.9363,0.9322
mb-frost_cls,siglip2,max,7,0.9364,0.9364,0.9324
mb-frost_cls,siglip2,max,9,0.9366,0.9366,0.9325
mb-frost_cls,siglip2,max,11,0.9367,0.9367,0.9327
mb-frost_cls,siglip2,max,13,0.9371,0.9371,0.9332
mb-frost_cls,siglip2,max,15,0.9371,0.9371,0.9330
mb-frost_cls,siglip2,gem,1,0.9253,0.9253,0.9209
mb-frost_cls,siglip2,gem,3,0.9308,0.9308,0.9267
mb-frost_cls,siglip2,gem,5,0.9300,0.9300,0.9260
mb-frost_cls,siglip2,gem,7,0.9302,0.9302,0.9262
mb-frost_cls,siglip2,gem,9,0.9291,0.9291,0.9251
mb-frost_cls,siglip2,gem,11,0.9277,0.9277,0.9238
mb-frost_cls,siglip2,gem,13,0.9273,0.9273,0.9233
mb-frost_cls,siglip2,gem,15,0.9273,0.9273,0.9234
mb-frost_cls,openclip,cls,1,0.9169,0.9169,0.9094
mb-frost_cls,openclip,cls,3,0.9193,0.9193,0.9115
mb-frost_cls,openclip,cls,5,0.9199,0.9199,0.9120
mb-frost_cls,openclip,cls,7,0.9188,0.9188,0.9105
mb-frost_cls,openclip,cls,9,0.9184,0.9184,0.9101
mb-frost_cls,openclip,cls,11,0.9185,0.9185,0.9102
mb-frost_cls,openclip,cls,13,0.9197,0.9197,0.9115
mb-frost_cls,openclip,cls,15,0.9203,0.9203,0.9121
mb-frost_cls,openclip,mean,1,0.9305,0.9305,0.9240
mb-frost_cls,openclip,mean,3,0.9309,0.9309,0.9240
mb-frost_cls,openclip,mean,5,0.9321,0.9321,0.9253
mb-frost_cls,openclip,mean,7,0.9309,0.9309,0.9239
mb-frost_cls,openclip,mean,9,0.9320,0.9320,0.9250
mb-frost_cls,openclip,mean,11,0.9317,0.9317,0.9247
mb-frost_cls,openclip,mean,13,0.9311,0.9311,0.9241
mb-frost_cls,openclip,mean,15,0.9313,0.9313,0.9243
mb-frost_cls,openclip,max,1,0.8980,0.8980,0.8902
mb-frost_cls,openclip,max,3,0.9135,0.9135,0.9066
mb-frost_cls,openclip,max,5,0.9184,0.9184,0.9119
mb-frost_cls,openclip,max,7,0.9236,0.9236,0.9174
mb-frost_cls,openclip,max,9,0.9242,0.9242,0.9181
mb-frost_cls,openclip,max,11,0.9281,0.9281,0.9223
mb-frost_cls,openclip,max,13,0.9269,0.9269,0.9209
mb-frost_cls,openclip,max,15,0.9262,0.9262,0.9202
mb-frost_cls,openclip,gem,1,0.9218,0.9218,0.9149
mb-frost_cls,openclip,gem,3,0.9259,0.9259,0.9192
mb-frost_cls,openclip,gem,5,0.9263,0.9263,0.9197
mb-frost_cls,openclip,gem,7,0.9286,0.9286,0.9222
mb-frost_cls,openclip,gem,9,0.9299,0.9299,0.9235
mb-frost_cls,openclip,gem,11,0.9297,0.9297,0.9233
mb-frost_cls,openclip,gem,13,0.9293,0.9293,0.9229
mb-frost_cls,openclip,gem,15,0.9292,0.9292,0.9228
mb-frost_cls,dinov3_lvd,cls,1,0.9124,0.9124,0.9074
mb-frost_cls,dinov3_lvd,cls,3,0.9242,0.9242,0.9197
mb-frost_cls,dinov3_lvd,cls,5,0.9286,0.9286,0.9244
mb-frost_cls,dinov3_lvd,cls,7,0.9295,0.9295,0.9254
mb-frost_cls,dinov3_lvd,cls,9,0.9321,0.9321,0.9280
mb-frost_cls,dinov3_lvd,cls,11,0.9316,0.9316,0.9275
mb-frost_cls,dinov3_lvd,cls,13,0.9329,0.9329,0.9289
mb-frost_cls,dinov3_lvd,cls,15,0.9333,0.9333,0.9293
mb-frost_cls,dinov3_lvd,mean,1,0.8851,0.8851,0.8794
mb-frost_cls,dinov3_lvd,mean,3,0.8932,0.8932,0.8881
mb-frost_cls,dinov3_lvd,mean,5,0.8972,0.8972,0.8922
mb-frost_cls,dinov3_lvd,mean,7,0.8999,0.8999,0.8951
mb-frost_cls,dinov3_lvd,mean,9,0.8988,0.8988,0.8940
mb-frost_cls,dinov3_lvd,mean,11,0.9011,0.9011,0.8964
mb-frost_cls,dinov3_lvd,mean,13,0.9028,0.9028,0.8981
mb-frost_cls,dinov3_lvd,mean,15,0.9027,0.9027,0.8981
mb-frost_cls,dinov3_lvd,max,1,0.8909,0.8909,0.8855
mb-frost_cls,dinov3_lvd,max,3,0.8984,0.8984,0.8935
mb-frost_cls,dinov3_lvd,max,5,0.9002,0.9002,0.8954
mb-frost_cls,dinov3_lvd,max,7,0.9008,0.9008,0.8962
mb-frost_cls,dinov3_lvd,max,9,0.9011,0.9011,0.8966
mb-frost_cls,dinov3_lvd,max,11,0.9023,0.9023,0.8978
mb-frost_cls,dinov3_lvd,max,13,0.9022,0.9022,0.8977
mb-frost_cls,dinov3_lvd,max,15,0.9017,0.9017,0.8973
mb-frost_cls,dinov3_lvd,gem,1,0.8868,0.8868,0.8813
mb-frost_cls,dinov3_lvd,gem,3,0.8993,0.8993,0.8943
mb-frost_cls,dinov3_lvd,gem,5,0.9010,0.9010,0.8961
mb-frost_cls,dinov3_lvd,gem,7,0.9056,0.9056,0.9009
mb-frost_cls,dinov3_lvd,gem,9,0.9078,0.9078,0.9033
mb-frost_cls,dinov3_lvd,gem,11,0.9076,0.9076,0.9031
mb-frost_cls,dinov3_lvd,gem,13,0.9058,0.9058,0.9013
mb-frost_cls,dinov3_lvd,gem,15,0.9071,0.9071,0.9026
mb-frost_cls,dinov3_sat,cls,1,0.9709,0.9709,0.9688
mb-frost_cls,dinov3_sat,cls,3,0.9739,0.9739,0.9720
mb-frost_cls,dinov3_sat,cls,5,0.9741,0.9741,0.9723
mb-frost_cls,dinov3_sat,cls,7,0.9740,0.9740,0.9721
mb-frost_cls,dinov3_sat,cls,9,0.9735,0.9735,0.9717
mb-frost_cls,dinov3_sat,cls,11,0.9735,0.9735,0.9717
mb-frost_cls,dinov3_sat,cls,13,0.9731,0.9731,0.9713
mb-frost_cls,dinov3_sat,cls,15,0.9728,0.9728,0.9709
mb-frost_cls,dinov3_sat,mean,1,0.9603,0.9603,0.9577
mb-frost_cls,dinov3_sat,mean,3,0.9668,0.9668,0.9645
mb-frost_cls,dinov3_sat,mean,5,0.9672,0.9672,0.9650
mb-frost_cls,dinov3_sat,mean,7,0.9673,0.9673,0.9651
mb-frost_cls,dinov3_sat,mean,9,0.9678,0.9678,0.9657
mb-frost_cls,dinov3_sat,mean,11,0.9679,0.9679,0.9657
mb-frost_cls,dinov3_sat,mean,13,0.9688,0.9688,0.9667
mb-frost_cls,dinov3_sat,mean,15,0.9695,0.9695,0.9675
mb-frost_cls,dinov3_sat,max,1,0.9780,0.9780,0.9764
mb-frost_cls,dinov3_sat,max,3,0.9801,0.9801,0.9786
mb-frost_cls,dinov3_sat,max,5,0.9820,0.9820,0.9806
mb-frost_cls,dinov3_sat,max,7,0.9842,0.9842,0.9830
mb-frost_cls,dinov3_sat,max,9,0.9855,0.9855,0.9844
mb-frost_cls,dinov3_sat,max,11,0.9853,0.9853,0.9842
mb-frost_cls,dinov3_sat,max,13,0.9861,0.9861,0.9850
mb-frost_cls,dinov3_sat,max,15,0.9871,0.9871,0.9861
mb-frost_cls,dinov3_sat,gem,1,0.9674,0.9674,0.9651
mb-frost_cls,dinov3_sat,gem,3,0.9717,0.9717,0.9696
mb-frost_cls,dinov3_sat,gem,5,0.9754,0.9754,0.9736
mb-frost_cls,dinov3_sat,gem,7,0.9768,0.9768,0.9751
mb-frost_cls,dinov3_sat,gem,9,0.9780,0.9780,0.9763
mb-frost_cls,dinov3_sat,gem,11,0.9772,0.9772,0.9755
mb-frost_cls,dinov3_sat,gem,13,0.9789,0.9789,0.9773
mb-frost_cls,dinov3_sat,gem,15,0.9792,0.9792,0.9776
mb-frost_cls,satmae,cls,1,0.8721,0.8721,0.8616
mb-frost_cls,satmae,cls,3,0.8800,0.8800,0.8700
mb-frost_cls,satmae,cls,5,0.8848,0.8848,0.8750
mb-frost_cls,satmae,cls,7,0.8855,0.8855,0.8756
mb-frost_cls,satmae,cls,9,0.8879,0.8879,0.8783
mb-frost_cls,satmae,cls,11,0.8871,0.8871,0.8774
mb-frost_cls,satmae,cls,13,0.8862,0.8862,0.8766
mb-frost_cls,satmae,cls,15,0.8866,0.8866,0.8771
mb-frost_cls,satmae,mean,1,0.8820,0.8820,0.8731
mb-frost_cls,satmae,mean,3,0.8803,0.8803,0.8714
mb-frost_cls,satmae,mean,5,0.8830,0.8830,0.8742
mb-frost_cls,satmae,mean,7,0.8844,0.8844,0.8757
mb-frost_cls,satmae,mean,9,0.8859,0.8859,0.8771
mb-frost_cls,satmae,mean,11,0.8875,0.8875,0.8789
mb-frost_cls,satmae,mean,13,0.8885,0.8885,0.8799
mb-frost_cls,satmae,mean,15,0.8887,0.8887,0.8801
mb-frost_cls,satmae,max,1,0.8905,0.8905,0.8819
mb-frost_cls,satmae,max,3,0.8897,0.8897,0.8812
mb-frost_cls,satmae,max,5,0.8902,0.8902,0.8818
mb-frost_cls,satmae,max,7,0.8899,0.8899,0.8816
mb-frost_cls,satmae,max,9,0.8892,0.8892,0.8808
mb-frost_cls,satmae,max,11,0.8914,0.8914,0.8830
mb-frost_cls,satmae,max,13,0.8931,0.8931,0.8849
mb-frost_cls,satmae,max,15,0.8910,0.8910,0.8827
mb-frost_cls,satmae,gem,1,0.8915,0.8915,0.8828
mb-frost_cls,satmae,gem,3,0.8902,0.8902,0.8817
mb-frost_cls,satmae,gem,5,0.8914,0.8914,0.8829
mb-frost_cls,satmae,gem,7,0.8932,0.8932,0.8849
mb-frost_cls,satmae,gem,9,0.8931,0.8931,0.8848
mb-frost_cls,satmae,gem,11,0.8938,0.8938,0.8855
mb-frost_cls,satmae,gem,13,0.8938,0.8938,0.8855
mb-frost_cls,satmae,gem,15,0.8937,0.8937,0.8854
mb-frost_cls,mars_mae,cls,1,0.9197,0.9197,0.9119
mb-frost_cls,mars_mae,cls,3,0.9268,0.9268,0.9196
mb-frost_cls,mars_mae,cls,5,0.9307,0.9307,0.9238
mb-frost_cls,mars_mae,cls,7,0.9341,0.9341,0.9275
mb-frost_cls,mars_mae,cls,9,0.9361,0.9361,0.9296
mb-frost_cls,mars_mae,cls,11,0.9373,0.9373,0.9309
mb-frost_cls,mars_mae,cls,13,0.9372,0.9372,0.9309
mb-frost_cls,mars_mae,cls,15,0.9365,0.9365,0.9301
mb-frost_cls,mars_mae,mean,1,0.9138,0.9138,0.9050
mb-frost_cls,mars_mae,mean,3,0.9246,0.9246,0.9169
mb-frost_cls,mars_mae,mean,5,0.9275,0.9275,0.9201
mb-frost_cls,mars_mae,mean,7,0.9274,0.9274,0.9200
mb-frost_cls,mars_mae,mean,9,0.9287,0.9287,0.9215
mb-frost_cls,mars_mae,mean,11,0.9293,0.9293,0.9221
mb-frost_cls,mars_mae,mean,13,0.9309,0.9309,0.9237
mb-frost_cls,mars_mae,mean,15,0.9311,0.9311,0.9240
mb-frost_cls,mars_mae,max,1,0.9035,0.9035,0.8962
mb-frost_cls,mars_mae,max,3,0.9078,0.9078,0.9007
mb-frost_cls,mars_mae,max,5,0.9092,0.9092,0.9021
mb-frost_cls,mars_mae,max,7,0.9100,0.9100,0.9030
mb-frost_cls,mars_mae,max,9,0.9117,0.9117,0.9047
mb-frost_cls,mars_mae,max,11,0.9110,0.9110,0.9041
mb-frost_cls,mars_mae,max,13,0.9118,0.9118,0.9050
mb-frost_cls,mars_mae,max,15,0.9117,0.9117,0.9049
mb-frost_cls,mars_mae,gem,1,0.9053,0.9053,0.8968
mb-frost_cls,mars_mae,gem,3,0.9116,0.9116,0.9036
mb-frost_cls,mars_mae,gem,5,0.9138,0.9138,0.9060
mb-frost_cls,mars_mae,gem,7,0.9153,0.9153,0.9076
mb-frost_cls,mars_mae,gem,9,0.9165,0.9165,0.9087
mb-frost_cls,mars_mae,gem,11,0.9174,0.9174,0.9096
mb-frost_cls,mars_mae,gem,13,0.9163,0.9163,0.9085
mb-frost_cls,mars_mae,gem,15,0.9155,0.9155,0.9077
mb-landmark_cls,vit_l,cls,1,0.8940,0.8940,0.6070
mb-landmark_cls,vit_l,cls,3,0.9035,0.9035,0.6234
mb-landmark_cls,vit_l,cls,5,0.9052,0.9052,0.6111
mb-landmark_cls,vit_l,cls,7,0.9041,0.9041,0.6040
mb-landmark_cls,vit_l,cls,9,0.9041,0.9041,0.5883
mb-landmark_cls,vit_l,cls,11,0.9024,0.9024,0.5739
mb-landmark_cls,vit_l,cls,13,0.8991,0.8991,0.5673
mb-landmark_cls,vit_l,cls,15,0.8991,0.8991,0.5600
mb-landmark_cls,vit_l,mean,1,0.8907,0.8907,0.6261
mb-landmark_cls,vit_l,mean,3,0.9113,0.9113,0.6412
mb-landmark_cls,vit_l,mean,5,0.9124,0.9124,0.6165
mb-landmark_cls,vit_l,mean,7,0.9108,0.9108,0.6231
mb-landmark_cls,vit_l,mean,9,0.9130,0.9130,0.6028
mb-landmark_cls,vit_l,mean,11,0.9119,0.9119,0.5947
mb-landmark_cls,vit_l,mean,13,0.9085,0.9085,0.5819
mb-landmark_cls,vit_l,mean,15,0.9085,0.9085,0.5820
mb-landmark_cls,vit_l,max,1,0.8868,0.8868,0.5984
mb-landmark_cls,vit_l,max,3,0.8996,0.8996,0.6134
mb-landmark_cls,vit_l,max,5,0.9030,0.9030,0.6011
mb-landmark_cls,vit_l,max,7,0.9013,0.9013,0.5696
mb-landmark_cls,vit_l,max,9,0.8985,0.8985,0.5604
mb-landmark_cls,vit_l,max,11,0.8946,0.8946,0.5464
mb-landmark_cls,vit_l,max,13,0.8907,0.8907,0.5293
mb-landmark_cls,vit_l,max,15,0.8885,0.8885,0.5184
mb-landmark_cls,vit_l,gem,1,0.8940,0.8940,0.6323
mb-landmark_cls,vit_l,gem,3,0.9085,0.9085,0.6473
mb-landmark_cls,vit_l,gem,5,0.9024,0.9024,0.6195
mb-landmark_cls,vit_l,gem,7,0.9041,0.9041,0.6201
mb-landmark_cls,vit_l,gem,9,0.8974,0.8974,0.5640
mb-landmark_cls,vit_l,gem,11,0.8991,0.8991,0.5608
mb-landmark_cls,vit_l,gem,13,0.8985,0.8985,0.5562
mb-landmark_cls,vit_l,gem,15,0.8957,0.8957,0.5477
mb-landmark_cls,swin_v2,cls,1,0.8695,0.8695,0.5775
mb-landmark_cls,swin_v2,cls,3,0.8912,0.8912,0.6001
mb-landmark_cls,swin_v2,cls,5,0.8862,0.8862,0.5777
mb-landmark_cls,swin_v2,cls,7,0.8840,0.8840,0.5547
mb-landmark_cls,swin_v2,cls,9,0.8818,0.8818,0.5573
mb-landmark_cls,swin_v2,cls,11,0.8784,0.8784,0.5259
mb-landmark_cls,swin_v2,cls,13,0.8751,0.8751,0.5111
mb-landmark_cls,swin_v2,cls,15,0.8728,0.8728,0.4996
mb-landmark_cls,swin_v2,mean,1,0.8695,0.8695,0.5775
mb-landmark_cls,swin_v2,mean,3,0.8912,0.8912,0.6001
mb-landmark_cls,swin_v2,mean,5,0.8862,0.8862,0.5777
mb-landmark_cls,swin_v2,mean,7,0.8840,0.8840,0.5547
mb-landmark_cls,swin_v2,mean,9,0.8818,0.8818,0.5573
mb-landmark_cls,swin_v2,mean,11,0.8784,0.8784,0.5259
mb-landmark_cls,swin_v2,mean,13,0.8751,0.8751,0.5111
mb-landmark_cls,swin_v2,mean,15,0.8728,0.8728,0.4996
mb-landmark_cls,swin_v2,max,1,0.8634,0.8634,0.5726
mb-landmark_cls,swin_v2,max,3,0.8784,0.8784,0.5827
mb-landmark_cls,swin_v2,max,5,0.8890,0.8890,0.5800
mb-landmark_cls,swin_v2,max,7,0.8929,0.8929,0.5861
mb-landmark_cls,swin_v2,max,9,0.8946,0.8946,0.5670
mb-landmark_cls,swin_v2,max,11,0.8885,0.8885,0.5409
mb-landmark_cls,swin_v2,max,13,0.8918,0.8918,0.5512
mb-landmark_cls,swin_v2,max,15,0.8896,0.8896,0.5470
mb-landmark_cls,swin_v2,gem,1,0.8689,0.8689,0.5814
mb-landmark_cls,swin_v2,gem,3,0.8912,0.8912,0.6138
mb-landmark_cls,swin_v2,gem,5,0.8885,0.8885,0.5961
mb-landmark_cls,swin_v2,gem,7,0.8901,0.8901,0.5947
mb-landmark_cls,swin_v2,gem,9,0.8879,0.8879,0.5624
mb-landmark_cls,swin_v2,gem,11,0.8873,0.8873,0.5489
mb-landmark_cls,swin_v2,gem,13,0.8885,0.8885,0.5456
mb-landmark_cls,swin_v2,gem,15,0.8896,0.8896,0.5465
mb-landmark_cls,siglip2,cls,1,0.8834,0.8834,0.6278
mb-landmark_cls,siglip2,cls,3,0.8946,0.8946,0.6071
mb-landmark_cls,siglip2,cls,5,0.8896,0.8896,0.5421
mb-landmark_cls,siglip2,cls,7,0.8896,0.8896,0.5338
mb-landmark_cls,siglip2,cls,9,0.8879,0.8879,0.5178
mb-landmark_cls,siglip2,cls,11,0.8834,0.8834,0.5010
mb-landmark_cls,siglip2,cls,13,0.8829,0.8829,0.4983
mb-landmark_cls,siglip2,cls,15,0.8829,0.8829,0.4914
mb-landmark_cls,siglip2,mean,1,0.8751,0.8751,0.5757
mb-landmark_cls,siglip2,mean,3,0.8985,0.8985,0.6043
mb-landmark_cls,siglip2,mean,5,0.8996,0.8996,0.6036
mb-landmark_cls,siglip2,mean,7,0.8957,0.8957,0.5463
