Dataset,Model,Pooling,K,Accuracy,F1_Micro,F1_Macro
mb-landmark_cls,dinov3_sat_1cha,mean,11,0.8834,0.8834,0.5045
mb-landmark_cls,dinov3_sat_1cha,mean,13,0.8834,0.8834,0.4942
mb-landmark_cls,dinov3_sat_1cha,mean,15,0.8795,0.8795,0.4893
mb-landmark_cls,dinov3_sat_1cha,max,1,0.8500,0.8500,0.6359
mb-landmark_cls,dinov3_sat_1cha,max,3,0.8862,0.8862,0.6322
mb-landmark_cls,dinov3_sat_1cha,max,5,0.8868,0.8868,0.5549
mb-landmark_cls,dinov3_sat_1cha,max,7,0.8851,0.8851,0.5525
mb-landmark_cls,dinov3_sat_1cha,max,9,0.8840,0.8840,0.5338
mb-landmark_cls,dinov3_sat_1cha,max,11,0.8857,0.8857,0.5358
mb-landmark_cls,dinov3_sat_1cha,max,13,0.8846,0.8846,0.5278
mb-landmark_cls,dinov3_sat_1cha,max,15,0.8846,0.8846,0.5291
mb-landmark_cls,dinov3_sat_1cha,gem,1,0.8455,0.8455,0.5938
mb-landmark_cls,dinov3_sat_1cha,gem,3,0.8751,0.8751,0.5600
mb-landmark_cls,dinov3_sat_1cha,gem,5,0.8795,0.8795,0.5275
mb-landmark_cls,dinov3_sat_1cha,gem,7,0.8795,0.8795,0.5200
mb-landmark_cls,dinov3_sat_1cha,gem,9,0.8790,0.8790,0.5007
mb-landmark_cls,dinov3_sat_1cha,gem,11,0.8806,0.8806,0.5043
mb-landmark_cls,dinov3_sat_1cha,gem,13,0.8779,0.8779,0.4932
mb-landmark_cls,dinov3_sat_1cha,gem,15,0.8773,0.8773,0.4834
mb-landmark_cls,dinov3_lvd_1cha,cls,1,0.8862,0.8862,0.6654
mb-landmark_cls,dinov3_lvd_1cha,cls,3,0.9035,0.9035,0.6792
mb-landmark_cls,dinov3_lvd_1cha,cls,5,0.9057,0.9057,0.6593
mb-landmark_cls,dinov3_lvd_1cha,cls,7,0.9102,0.9102,0.6671
mb-landmark_cls,dinov3_lvd_1cha,cls,9,0.9091,0.9091,0.6685
mb-landmark_cls,dinov3_lvd_1cha,cls,11,0.9063,0.9063,0.6554
mb-landmark_cls,dinov3_lvd_1cha,cls,13,0.9041,0.9041,0.6396
mb-landmark_cls,dinov3_lvd_1cha,cls,15,0.9057,0.9057,0.6445
mb-landmark_cls,dinov3_lvd_1cha,mean,1,0.8834,0.8834,0.6586
mb-landmark_cls,dinov3_lvd_1cha,mean,3,0.9069,0.9069,0.6905
mb-landmark_cls,dinov3_lvd_1cha,mean,5,0.9035,0.9035,0.6679
mb-landmark_cls,dinov3_lvd_1cha,mean,7,0.9046,0.9046,0.6535
mb-landmark_cls,dinov3_lvd_1cha,mean,9,0.9046,0.9046,0.6382
mb-landmark_cls,dinov3_lvd_1cha,mean,11,0.8996,0.8996,0.6288
mb-landmark_cls,dinov3_lvd_1cha,mean,13,0.8979,0.8979,0.6121
mb-landmark_cls,dinov3_lvd_1cha,mean,15,0.8963,0.8963,0.6029
mb-landmark_cls,dinov3_lvd_1cha,max,1,0.8985,0.8985,0.7017
mb-landmark_cls,dinov3_lvd_1cha,max,3,0.9136,0.9136,0.7137
mb-landmark_cls,dinov3_lvd_1cha,max,5,0.9163,0.9163,0.6969
mb-landmark_cls,dinov3_lvd_1cha,max,7,0.9141,0.9141,0.6955
mb-landmark_cls,dinov3_lvd_1cha,max,9,0.9136,0.9136,0.6766
mb-landmark_cls,dinov3_lvd_1cha,max,11,0.9119,0.9119,0.6754
mb-landmark_cls,dinov3_lvd_1cha,max,13,0.9063,0.9063,0.6476
mb-landmark_cls,dinov3_lvd_1cha,max,15,0.9074,0.9074,0.6665
mb-landmark_cls,dinov3_lvd_1cha,gem,1,0.8745,0.8745,0.6521
mb-landmark_cls,dinov3_lvd_1cha,gem,3,0.8991,0.8991,0.6702
mb-landmark_cls,dinov3_lvd_1cha,gem,5,0.9024,0.9024,0.6523
mb-landmark_cls,dinov3_lvd_1cha,gem,7,0.9030,0.9030,0.6493
mb-landmark_cls,dinov3_lvd_1cha,gem,9,0.9041,0.9041,0.6417
mb-landmark_cls,dinov3_lvd_1cha,gem,11,0.9013,0.9013,0.6301
mb-landmark_cls,dinov3_lvd_1cha,gem,13,0.9018,0.9018,0.6244
mb-landmark_cls,dinov3_lvd_1cha,gem,15,0.8996,0.8996,0.6232
