Dataset,Model,Feature Structure,LR,Score,Metric,Filename
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat2,0.0001,95.97,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat3,0.0001,96.09,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,original,0.0001,95.84,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat2,0.001,95.88,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat3,0.001,95.82,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,original,0.001,95.7,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat2,0.01,95.59,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.01_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,concat3,0.01,95.74,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.01_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov1_b8,original,0.01,95.51,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov1_b8_lr0.01_original.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat2,0.0001,98.77,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.0001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat3,0.0001,98.58,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.0001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,original,0.0001,98.77,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.0001_original.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat2,0.001,98.73,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.001_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat3,0.001,98.68,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.001_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,original,0.001,98.77,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.001_original.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat2,0.01,97.55,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.01_concat_2.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,concat3,0.01,98.41,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.01_concat_3.log
mb-atmospheric_dust_cls_rdr,dinov2_l14,original,0.01,98.54,Best Val Accuracy,mb-atmospheric_dust_cls_rdr_dinov2_l14_lr0.01_original.log
